COLOR_NAME,RED,GREEN,BLUE
Black,0,0,0
White,255,255,255
Red,255,0,0
Green,0,255,0
Blue,0,0,255
Yellow,255,255,0
Orange,255,165,0
Pink,255,192,203
Purple,128,0,128
Brown,165,42,42
Cyan,0,255,255
Magenta,255,0,255
Lime,0,255,0
Teal,0,128,128
Olive,128,128,0
Maroon,128,0,0
Navy,0,0,128
Aquamarine,127,255,212
Turquoise,64,224,208
Gold,255,215,0
Silver,192,192,192
Indigo,75,0,130
Violet,238,130,238
Beige,245,245,220
Tan,210,180,140
Coral,255,127,80
Salmon,250,128,114
Sky Blue,135,206,235
Lavender,230,230,250
Peach,255,218,185
